Liquid Contamination,Liquid Viscocity,Press Area (mm^2),Tube Length (mm),RunOrder,Input (N)
No,Detergent,28.3,150,19,0.7
No,Detergent,28.3,900,56,0.7
Yes,Detergent,28.3,150,31,1
Yes,Detergent,28.3,900,38,1
No,Detergent,113.1,150,34,1.8
No,Detergent,113.1,900,13,1.7
Yes,Detergent,113.1,150,21,2
Yes,Detergent,113.1,900,30,1.9
No,Detergent,201.1,150,32,3.5
No,Detergent,201.1,900,41,3.2
Yes,Detergent,201.1,150,8,3.8
Yes,Detergent,201.1,900,7,3.7
No,Oil,28.3,150,25,0.5
No,Oil,28.3,900,15,0.3
Yes,Oil,28.3,150,24,0.6
Yes,Oil,28.3,900,28,0.5
No,Oil,113.1,150,20,1.1
No,Oil,113.1,900,36,0.8
Yes,Oil,113.1,150,11,1.6
Yes,Oil,113.1,900,9,1.8
No,Oil,201.1,150,53,2.5
No,Oil,201.1,900,16,1.2
Yes,Oil,201.1,150,3,2.4
Yes,Oil,201.1,900,12,1.8
No,Water,28.3,150,54,0.2
No,Water,28.3,900,17,0.1
Yes,Water,28.3,150,6,0.1
Yes,Water,28.3,900,29,0.3
No,Water,113.1,150,1,0.5
No,Water,113.1,900,5,0.4
Yes,Water,113.1,150,44,0.9
Yes,Water,113.1,900,18,0.3
No,Water,201.1,150,43,0.5
No,Water,201.1,900,10,0.7
Yes,Water,201.1,150,4,2.5
Yes,Water,201.1,900,2,0.6
No,Detergent,28.3,150,19,0.7
No,Detergent,28.3,900,56,0.8
Yes,Detergent,28.3,150,31,0.7
Yes,Detergent,28.3,900,38,1.2
No,Detergent,113.1,150,34,1.7
No,Detergent,113.1,900,13,1.8
Yes,Detergent,113.1,150,21,2.4
Yes,Detergent,113.1,900,30,2.3
No,Detergent,201.1,150,32,3.4
No,Detergent,201.1,900,41,3.6
Yes,Detergent,201.1,150,8,4
Yes,Detergent,201.1,900,7,4
No,Oil,28.3,150,25,0.4
No,Oil,28.3,900,15,0.3
Yes,Oil,28.3,150,24,0.8
Yes,Oil,28.3,900,28,0.4
No,Oil,113.1,150,20,1
No,Oil,113.1,900,36,0.9
Yes,Oil,113.1,150,11,1.5
Yes,Oil,113.1,900,9,1.6
No,Oil,201.1,150,53,2.4
No,Oil,201.1,900,16,1.3
Yes,Oil,201.1,150,3,1.6
Yes,Oil,201.1,900,12,2
No,Water,28.3,150,54,0.1
No,Water,28.3,900,17,0.1
Yes,Water,28.3,150,6,0.2
Yes,Water,28.3,900,29,0.4
No,Water,113.1,150,1,0.5
No,Water,113.1,900,5,0.5
Yes,Water,113.1,150,44,0.7
Yes,Water,113.1,900,18,0.4
No,Water,201.1,150,43,0.7
No,Water,201.1,900,10,0.6
Yes,Water,201.1,150,4,0.6
Yes,Water,201.1,900,2,1
No,Detergent,28.3,150,19,0.8
No,Detergent,28.3,900,56,0.6
Yes,Detergent,28.3,150,31,1.1
Yes,Detergent,28.3,900,38,0.8
No,Detergent,113.1,150,34,1.6
No,Detergent,113.1,900,13,1.5
Yes,Detergent,113.1,150,21,2.1
Yes,Detergent,113.1,900,30,2.3
No,Detergent,201.1,150,32,3.3
No,Detergent,201.1,900,41,3.5
Yes,Detergent,201.1,150,8,3.9
Yes,Detergent,201.1,900,7,3.7
No,Oil,28.3,150,25,0.3
No,Oil,28.3,900,15,0.4
Yes,Oil,28.3,150,24,0.8
Yes,Oil,28.3,900,28,0.4
No,Oil,113.1,150,20,1.1
No,Oil,113.1,900,36,1
Yes,Oil,113.1,150,11,1.6
Yes,Oil,113.1,900,9,1.7
No,Oil,201.1,150,53,2
No,Oil,201.1,900,16,1.3
Yes,Oil,201.1,150,3,1.6
Yes,Oil,201.1,900,12,2.5
No,Water,28.3,150,54,0.1
No,Water,28.3,900,17,0.2
Yes,Water,28.3,150,6,0.2
Yes,Water,28.3,900,29,0.2
No,Water,113.1,150,1,0.6
No,Water,113.1,900,5,0.3
Yes,Water,113.1,150,44,0.6
Yes,Water,113.1,900,18,0.2
No,Water,201.1,150,43,0.7
No,Water,201.1,900,10,0.7
Yes,Water,201.1,150,4,0.6
Yes,Water,201.1,900,2,0.7
